contest,handle,finding,risk,score,pie,split,slice,award,awardCoin,awardUSD
11,shw,M-11,2,,3,1,3,1441.123552,USDC,1441.12
11,shw,H-02,3,,8.1,3,2.7,1297.011197,USDC,1297.01
11,shw,H-03,3,,9,2,4.5,2161.685328,USDC,2161.69
11,shw,H-05,3,,8.1,3,2.7,1297.011197,USDC,1297.01
11,shw,H-06,3,,9,2,4.5,2161.685328,USDC,2161.69
11,shw,H-08,3,,10,1,10,4803.745174,USDC,4803.75
11,shw,G-06,g,,1,1,1,0,USDC,0
11,JMukesh,N-10,0,,1,1,1,0,USDC,0
11,JMukesh,M-04,2,,3,1,3,1441.123552,USDC,1441.12
11,a_delamo,L-01,1,,0.81,3,0.27,129.7011197,USDC,129.7
11,a_delamo,M-05,2,,3,1,3,1441.123552,USDC,1441.12
11,a_delamo,M-06,2,,3,1,3,1441.123552,USDC,1441.12
11,a_delamo,G-01,g,,1,1,1,0,USDC,0
11,a_delamo,G-02,g,,1,1,1,0,USDC,0
11,a_delamo,G-03,g,,1,1,1,0,USDC,0
12,gpersoon,N-01,0,,1,1,1,0,USDC,0
12,gpersoon,N-02,0,,1,1,1,0,USDC,0
12,gpersoon,N-03,0,,1,1,1,0,USDC,0
12,gpersoon,N-04,0,,1,1,1,0,USDC,0
12,gpersoon,N-05,0,,1,1,1,0,USDC,0
